id	title	description	link	image_link	availability	price
565357443	Светодиодная Лампа E27 3вт (vm-0403) Venom	Светодиодная led лампочка с цоколем е27 – если у вас давно появилось желание сэкономить денежные средства за электроэнергию, тогда вам просто необходимо приобрести светодиодные лампочки. Лампочки с распространённым цоколем е27 являются новой и по истине лучшей инновационной альтернативой обычным лампочкам. Преимуществом данных ламп является их экологичность и экономичность по сравнению с ртутными, лампами накаливания, и галогеновыми лампами.	https://ledstorm.ua/svetodiodnaya-lampa-e27-3vt-vm-0403-?sodship=y	https://ledstorm.ua/image/cache/catalog/products/366/366_3050189412-1000x1000.jpg	in stock	21.06 UAH
1209511294	Светодиодная Лампа E27 3вт (vm-0703) Venom	Светодиодная led лампа с цоколем е27 – если у вас давно появилось желание сэкономить денежные средства за электроэнергию, тогда вам просто необходимо приобрести светодиодные лампочки. Лампочки с распространённым цоколем е27 являются новой и по истине лучшей инновационной альтернативой обычным лампочкам. Преимуществом данных ламп является их экологичность и экономичность по сравнению с ртутными, лампами накаливания, и галогеновыми лампами.	https://ledstorm.ua/svetodiodnaya-lampa-e27-3vt-vm-0703-?sodship=y	https://ledstorm.ua/image/cache/catalog/products/367/367_1263204071-1000x1000.jpg	in stock	21.06 UAH
72169493	Светодиодная Лампа E27 3вт(vm04032) Venom	Светодиодная led лампочка с цоколем е27 – если у вас давно появилось желание сэкономить денежные средства за электроэнергию, тогда вам просто необходимо приобрести светодиодные лампочки. Лампочки с распространённым цоколем е27 являются новой и по истине лучшей инновационной альтернативой обычным лампочкам. Преимуществом данных ламп является их экологичность и экономичность по сравнению с ртутными, лампами накаливания, и галогеновыми лампами.	https://ledstorm.ua/svetodiodnaya-lampa-e27-3vt?sodship=y	https://ledstorm.ua/image/cache/catalog/photo/photo2/366_3050189412-800x800-1000x1000.jpg	in stock	21.06 UAH
788269201	Светодиодная Лампа Elm Mr16 3w P31 Gu5.3 4000 Elm  (18-0010)	Светодиодная лампа elm mr16 3w p31 gu5.3 4000 elm  (18-0010)	https://ledstorm.ua/svetodiodnaya-lampa-elm-mr16-3w-p31-gu5-3-4000-elm-18-0010?sodship=y	https://ledstorm.ua/image/cache/catalog/lampy_elm/18-0010-1000x1000.jpg	in stock	28.44 UAH
591735256	Светодиодная Лампа Elm Mr16 3.5w Pa10l Gu5.3 3000 120гр.	Светодиодная лампа elm mr16 3.5w pa10l gu5.3 3000 120гр.	https://ledstorm.ua/svetodiodnaya-lampa-elm-mr16-3-5w-pa10l-gu5-3-3000-120gr-18-0064?sodship=y	https://ledstorm.ua/image/cache/catalog/lampy_elm/18-0064-1000x1000.jpg	in stock	29.17 UAH
711985667	Светодиодная Лампа Elm Mr16 3w Pa10 Gu5.3 3000 120гр.	Светодиодная лампа elm mr16 3w pa10 gu5.3 3000 120гр.	https://ledstorm.ua/svetodiodnaya-lampa-elm-mr16-3w-pa10-gu5-3-3000-120gr-18-0153?sodship=y	https://ledstorm.ua/image/cache/catalog/lampy_elm/18-0153-1000x1000.jpg	in stock	29.17 UAH
1484065478	Светодиодная Лампа Elm Mr16 3w Pa10 Gu5.3 4000 120гр.	Светодиодная лампа elm mr16 3w pa10 gu5.3 4000 120гр.	https://ledstorm.ua/svetodiodnaya-lampa-elm-mr16-3w-pa10-gu5-3-4000-120gr-18-0044?sodship=y	https://ledstorm.ua/image/cache/catalog/lampy_elm/18-0044-1000x1000.jpg	in stock	29.17 UAH
851401459	Светодиодная Лампа Elm Mr16 3.5w Pa10l Gu5.3 4000 120гр.	Светодиодная лампа elm mr16 3.5w pa10l gu5.3 4000 120гр.	https://ledstorm.ua/svetodiodnaya-lampa-elm-mr16-3-5w-pa10l-gu5-3-4000-120gr-18-0065?sodship=y	https://ledstorm.ua/image/cache/catalog/lampy_elm/18-0065-1000x1000.jpg	in stock	29.33 UAH
741895612	Светодиодная Лампа E14 4вт (lb-1808)	Светодиодная led лампочка с цоколем е14 – если у вас давно появилось желание сэкономить денежные средства за электроэнергию, тогда вам просто необходимо приобрести светодиодные лампочки. Лампочки с распространённым цоколем е14 являются новой и по истине лучшей инновационной альтернативой обычным лампочкам. Преимуществом данных ламп является их экологичность и экономичность по сравнению с ртутными, лампами накаливания, и галогеновыми лампами.  Led лампа является энергоэффективной так как по сравнению с обычной лампочкой которая выделяет больше тепла чем излучает света, светодиодная лампа 220v наоборот же потребляет мало энергии выделяет мало тепла, но много света. Так же к плюсам можно отнести долговечность этих ламп по сравнению с обычными лампами. Благодаря разновидности цоколей светодиодные лампы широко применяются во многих сферах: дома, офисы, реклама, промышленные здание.	https://ledstorm.ua/svetodiodnaya-lampa-e14-4vt-lm-1807?sodship=y	https://ledstorm.ua/image/cache/catalog/products/1042/1042_574314961-1000x1000.jpg	in stock	31.11 UAH
3651470204	Светодиодная Лампа E14 4вт (lc-1804)	Светодиодная led лампа с цоколем е14 – если у вас давно появилось желание сэкономить денежные средства за электроэнергию, тогда вам просто необходимо приобрести светодиодные лампочки. Лампочки с распространённым цоколем е14 являются новой и по истине лучшей инновационной альтернативой обычным лампочкам. Преимуществом данных ламп является их экологичность и экономичность по сравнению с ртутными, лампами накаливания, и галогеновыми лампами.  Led лампа является энергоэффективной так как по сравнению с обычной лампочкой которая выделяет больше тепла чем излучает света, светодиодная led лампа 220v наоборот же потребляет мало энергии выделяет мало тепла, но много света. Так же к плюсам можно отнести долговечность этих ламп по сравнению с обычными лампами. Благодаря разновидности цоколей светодиодные лампы широко применяются во многих сферах: дома, офисы, реклама, промышленные здание.	https://ledstorm.ua/svetodiodnaya-lampa-e14-4vt-lm-1803?sodship=y	https://ledstorm.ua/image/cache/catalog/products/1051/1051_1514422521-1000x1000.jpg	in stock	31.11 UAH
