price	title	description	link	image_link	id	availability	product_type
1095 UAH	Босоножки Для Девочек Molly Silver	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/molly_silver_.html	https://evie.ua/upload/resize_cache/iblock/cfd/500_500_1/cfdf4c78aef599e7bdec8df54888aa72.jpg	14172	in stock	Обувь Девочкам > Лето > Босоножки
1095 UAH	Босоножки Для Девочек Molly Orange	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/molly_orange.html	https://evie.ua/upload/resize_cache/iblock/e8d/500_500_1/e8d151e25e89ba0e3549c031f02cb489.jpg	14184	in stock	Обувь Девочкам > Лето > Босоножки
1095 UAH	Босоножки Для Девочек Molly Lime	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/molly_lime.html	https://evie.ua/upload/resize_cache/iblock/f4a/500_500_1/f4a7436690adb1ec4d9821b1952d8e26.jpg	14193	in stock	Обувь Девочкам > Лето > Босоножки
1095 UAH	Босоножки Для Девочек Molly Neon	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/molly_neon.html	https://evie.ua/upload/resize_cache/iblock/294/500_500_1/29437cb8fbf0c55903c0b11d9237509f.jpg	14331	in stock	Обувь Девочкам > Лето > Босоножки
1495 UAH	Босоножки Для Девочек E31 Sandals Silver	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/e_31_sandals_silver.html	https://evie.ua/upload/resize_cache/iblock/ac7/500_500_1/ac7648898d87c8b0d040c9980a7a861b.jpg	14232	in stock	Обувь Девочкам > Лето > Босоножки
1495 UAH	Босоножки Для Девочек E31 Sandals Orange	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/e_31_sandals_orange.html	https://evie.ua/upload/resize_cache/iblock/398/500_500_1/398629cbd59354b66d5ee15ad73e2c23.JPG	14213	in stock	Обувь Девочкам > Лето > Босоножки
1495 UAH	Босоножки Для Девочек E31 Sandals Lime	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/e_31_sandals_lime.html	https://evie.ua/upload/resize_cache/iblock/954/500_500_1/9543c2845c7167f3a4dd50649126ba56.jpg	14218	in stock	Обувь Девочкам > Лето > Босоножки
1495 UAH	Босоножки Для Девочек E31 Sandals Neon	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/e_31_sandals_neon.html	https://evie.ua/upload/resize_cache/iblock/3ca/500_500_1/3cada5bdee6863369a9c0e71f04e1049.jpg	14223	in stock	Обувь Девочкам > Лето > Босоножки
1195 UAH	Босоножки Для Девочек Lara Silver-Orange	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/lara_silver_orange.html	https://evie.ua/upload/resize_cache/iblock/622/500_500_1/622aa03a4df0c49b475b28e8590a4b67.jpg	14487	in stock	Обувь Девочкам > Лето > Босоножки
1195 UAH	Босоножки Для Девочек Lara Silver-Lime	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/lara_silver_lime.html	https://evie.ua/upload/resize_cache/iblock/a64/500_500_1/a64db1bf00d658fe0daa48d46c87afb2.jpg	14499	in stock	Обувь Девочкам > Лето > Босоножки
1195 UAH	Босоножки Для Девочек Leslie Silver	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/leslie_silver.html	https://evie.ua/upload/resize_cache/iblock/26b/500_500_1/26bdfc3535919f84f1b8c28bb772368b.jpg	14472	in stock	Обувь Девочкам > Лето > Босоножки
1195 UAH	Босоножки Для Девочек Leslie Silver-Lime	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/leslie_silver_lime.html	https://evie.ua/upload/resize_cache/iblock/a6b/500_500_1/a6b263d6f6faa9b65ff7024f6b5ca4bc.jpg	14478	in stock	Обувь Девочкам > Лето > Босоножки
1595 UAH	Босоножки Для Девочек E32 Sandals Black	Подкладка: натупальная кожа. Материал верха: натуральная кожа и дышащий неопрен.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/e_32_sandals_black.html	https://evie.ua/upload/resize_cache/iblock/f7f/500_500_1/f7f23a2f6c4ea850733cc08e49c210ba.jpg	14452	in stock	Обувь Девочкам > Лето > Босоножки
1195 UAH	Босоножки Для Девочек Lisa Silver Orange	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/lisa_silver_orange.html	https://evie.ua/upload/resize_cache/iblock/1bf/500_500_1/1bf1e0381706ef9f36719ffac9753e7d.jpg	14493	in stock	Обувь Девочкам > Лето > Босоножки
995 UAH	Шлепки Для Девочек Lori Neon	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры.	https://evie.ua/catalog/obuv_devochkam_2/leto/bosonozhki/lori_neon.html	https://evie.ua/upload/resize_cache/iblock/6bf/500_500_1/6bfd8c7db97d6958d0cac292a6b5ca51.jpg	14605	in stock	Обувь Девочкам > Лето > Босоножки
