itemNum	itemName	brands	digitkeys	brandkeys	brandsforads	link	image_link
k996032011	Подшипник Ступицы Колеса	Kia,Hyundai%%%(0054027350),(k996032011)	(0054027350),(k996032011)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/k996032011?sodship=y	/storage/detal_photo/0054027350-kia-01.jpg
0310000130	Жидкость Гур	Hyundai%%%(0310000130)	(0310000130)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0310000130?sodship=y	/storage/detal_photo/0310000130-hyundai-01.jpg
0710000200	Антифриз Long Life Coolant	Hyundai%%%(0710000200)	(0710000200)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0710000200?sodship=y	/storage/detal_photo/0710000200-hyundai-01.jpg
0710000400	Антифриз Long Life Coolant	Hyundai%%%(0710000400)	(0710000400)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0710000400?sodship=y	/storage/detal_photo/0710000400-hyundai-01.jpg
k02airsd00006	Фильтр Воздушный	Kia,Hyundai%%%(0k01113z40),(k02airsd00006)	(0k01113z40),(k02airsd00006)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/k02airsd00006?sodship=y	/storage/detal_photo/0k01113z40-mobis-01.jpg
ts0k01132290a	Тяга Рулевая Правая	Kia,Hyundai%%%(0k01132290a),(ts0k01132290a)	(0k01132290a),(ts0k01132290a)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/ts0k01132290a?sodship=y	/storage/detal_photo/0k01132290a-kap-01.jpg
0k01133152	Подшипник Ступицы Передний	Kia,Hyundai%%%(0k01133152)	(0k01133152)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k01133152?sodship=y	/storage/detal_photo/z08brgsd00062-kap-02.jpg
qkk07	Рычаг Передний Верхний	Kia,Hyundai%%%(0k01134200a),(qkk07)	(0k01134200a),(qkk07)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/qkk07?sodship=y	/storage/detal_photo/cqkk7-ctr-01.jpg
0k01134830a	Сайлентблок Переднего Рычага	Kia,Hyundai%%%(0k01134830a)	(0k01134830a)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k01134830a?sodship=y	/storage/detal_photo/0k01134830a-mobis-01.jpg
0k01155475c	Датчик Скорости	Kia,Hyundai%%%(0k01155475c)	(0k01155475c)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0k01155475c?sodship=y	/storage/detal_photo/0k01155475c-kia-01.jpg
