price	title	GAStitle	GASkeys	description	link	image_link	id	availability
1500 UAH	Пуф "Бланш"	Пуф "Бланш"	Пуф "Бланш"	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          светлые тона                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          мдф                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          окраска                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          bellini                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          50 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          40 см                                                                                                                                                                                                                                                                                                            высота                                                                                          45 см                                                                                                                                                                                                                                                                                                            вес                                                                                          5,0 кг                                                                                                                                                                                                                                                                                                                          дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          классический                                                                                                                                                                                                                                                                                                            тип                                                                                                                                                                                                        	https://bellinimebel.com.ua/product/mebel-dlya-spalni/puf-blansch/	https://bellinimebel.com.ua/media/uploads/products/2017/09/26/Blansh--poof.jpg.480x285_q85_background-white.jpg	616045412	in stock
5000 UAH	Тумба Прикроватная "Кармен"	Тумба Прикроватная "Кармен"	Тумба Прикроватная "Кармен"	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          бежевый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          мдф                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          окраска                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          bellini                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          60 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          41 см                                                                                                                                                                                                                                                                                                            высота                                                                                          65 см                                                                                                                                                                                                                                                                                                                                                                    дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          классический                                                                                                                                                                                                                                                                                                            тип                                                                                                                                                                                                                                                             кровати	https://bellinimebel.com.ua/product/mebel-dlya-spalni/of-karmen-tumbochka/	https://bellinimebel.com.ua/media/uploads/products/2019/05/07/кармен-тумба-прикроватная_MvXaGu9.jpg.480x285_q85_background-white.jpg	1969979938	in stock
7000 UAH	Кресло "Дуглас" (Douglas) Ткань Серый	Кресло "Дуглас"  Ткань Серый	Кресло "Дуглас" Douglas Ткань Серый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          серый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          ткань                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          113 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          102 см                                                                                                                                                                                                                                                                                                            высота                                                                                          102 см                                                                                                                                                                                                                                                                                                            вес                                                                                          41,0 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,74 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          современный                                                                                                                                                   	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-douglas-gray/	https://bellinimebel.com.ua/media/uploads/products/2019/11/18/DOUGLAS_armchair_SQ03-015_grey_WEB1.jpg.480x285_q85_background-white.jpg	2261658762	in stock
7000 UAH	Кресло "Миллер" (Miller) Экокожа Бежевый	Кресло "Миллер"  Экокожа Бежевый	Кресло "Миллер" Miller Экокожа Бежевый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          бежевый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          экокожа                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          109 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          103 см                                                                                                                                                                                                                                                                                                            высота                                                                                          107 см                                                                                                                                                                                                                                                                                                            вес                                                                                          38,0 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,74 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          современный                                                                                                                                               	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-miller-biege/	https://bellinimebel.com.ua/media/uploads/products/2019/11/17/Miller_armchair_SQ03-010_WEB1.jpg.480x285_q85_background-white.jpg	918427346	in stock
7000 UAH	Кресло "Дональд" (Donald) Качалка эко-кожа Бордовый	Кресло "Дональд"  Качалка эко-кожа Бордовый	Кресло "Дональд" Donald Качалка эко-кожа Бордовый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          бордовый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          экокожа                                                                                                                                                                                                                                                                                                                                                      реклайнер                                                                                          да                                                                                                                                                                                                                                                                                                            фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          82 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          94 см                                                                                                                                                                                                                                                                                                            высота                                                                                          110 см                                                                                                                                                                                                                                                                                                            вес                                                                                          36,5 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,46 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                         	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-donald/	https://bellinimebel.com.ua/media/uploads/products/2019/11/18/Donald_armchair_red_WEB1_NThSose.jpg.480x285_q85_background-white.jpg	2265178075	in stock
7000 UAH	Кресло "Леон" (Leon) Откидное эко-кожа темно-коричневый	Кресло "Леон"  Откидное эко-кожа темно-коричневый	Кресло "Леон" Leon Откидное эко-кожа темно-коричневый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          Темно-коричневый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          экокожа                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          89 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          98 см                                                                                                                                                                                                                                                                                                            высота                                                                                          109 см                                                                                                                                                                                                                                                                                                            вес                                                                                          35,5 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,5 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          современный                                                                                                                                         	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-leon/	https://bellinimebel.com.ua/media/uploads/products/2019/11/18/LEON_brown_WEB1.jpg.480x285_q85_background-white.jpg	3866756980	in stock
7000 UAH	Кресло "Свифт" (Swift) Реклайнер Ткань Бежевый	Кресло "Свифт"  Реклайнер Ткань Бежевый	Кресло "Свифт" Swift Реклайнер Ткань Бежевый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          бежевый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          ткань                                                                                                                                                                                                                                                                                                                                                      реклайнер                                                                                          да                                                                                                                                                                                                                                                                                                            фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          111 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          99 см                                                                                                                                                                                                                                                                                                            высота                                                                                          99 см                                                                                                                                                                                                                                                                                                            вес                                                                                          41,0 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,6 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                             	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-swift-beige/	https://bellinimebel.com.ua/media/uploads/products/2019/12/09/Swift_armchair_recliner_fabric_AVF610-1_WEB1.JPG.480x285_q85_background-white.jpg	2316743080	in stock
7000 UAH	Кресло "Онтарио" (Ontario) Экокожа Коричневый	Кресло "Онтарио"  Экокожа Коричневый	Кресло "Онтарио" Ontario Экокожа Коричневый	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          коричневый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          дерево                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          экокожа                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          arimax                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          110 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          103 см                                                                                                                                                                                                                                                                                                            высота                                                                                          104 см                                                                                                                                                                                                                                                                                                            вес                                                                                          41,0 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,74 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          современный                                                                                                                                            	https://bellinimebel.com.ua/product/mebel-dlya-gostinnoy/kreslo-arimax-ontario-brown/	https://bellinimebel.com.ua/media/uploads/products/2017/05/19/ontario-brkoga-chair.jpg.480x285_q85_background-white.jpg	531810604	in stock
7500 UAH	Зеркало Напольное "Люсиль"	Зеркало Напольное "Люсиль"	Зеркало Напольное "Люсиль"	Основные характеристики                                                                                                                                                                                                                      основные цвета                                                                                          бежевый                                                                                                                                                                                                                                                                                                            материал корпуса                                                                                          мдф                                                                                                                                                                                                                                                                                                            материал отделки                                                                                          окраска                                                                                                                                                                                                                                                                                                                                                                                                фабрика                                                                                          bellini                                                                                                                                                                                                                                                                                                            гарантия                                                                                          12                                                                                                                                                                                                                                           габаритные размеры                                                                                                                                                                                                                      ширина                                                                                          80 см                                                                                                                                                                                                                                                                                                            глубина                                                                                          75 см                                                                                                                                                                                                                                                                                                            высота                                                                                          199 см                                                                                                                                                                                                                                                                                                            вес                                                                                          25,0 кг                                                                                                                                                                                                                                                                                                            объем                                                                                          0,12 м3                                                                                                                                                                                                                                                                                дополнительные характеристики                                                                                                                                                                                                                      стиль                                                                                          классический                                                                                                                                                  	https://bellinimebel.com.ua/product/mebel-dlya-spalni/zerkalo-napolnoe-liusil/	https://bellinimebel.com.ua/media/uploads/products/2018/06/22/Lusil.jpg.480x285_q85_background-white.jpg	865036586	in stock
