itemNum	itemName	brands	digitkeys	brandkeys	brandsforads	link	image_link
k996032011	Подшипник Ступицы Колеса	Kia,Hyundai%%%(k996032011)	(k996032011)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/k996032011?sodship=y	/storage/detal_photo/0054027350-kia-01.jpg
0060326153a	Шайба	Kia,Hyundai%%%(0060326153a)	(0060326153a)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0060326153a?sodship=y	/storage/detal_photo/0060326153a-kia-01.jpg
0060326154	Сальник Полуоси	Kia,Hyundai%%%(0060326154)	(0060326154)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0060326154?sodship=y	/storage/detal_photo/0060326154-mobis-02.jpg
0060326156c	Гайка	Kia,Hyundai%%%(0060326156c)	(0060326156c)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0060326156c?sodship=y	/storage/detal_photo/0060326156c-kia-01.jpg
0060326157	Сальник Ступицы	Hyundai,Kia%%%(0060326157)	(0060326157)	хюндай,хэндай,hyundai,киа,kia	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0060326157?sodship=y	/storage/detal_photo/0060326157-pyung-hwa-01.jpg
60427220	Подшипник Хвостовика Заднего Редуктора Внутренний	Hyundai,Kia,Toyota%%%(0060427220),(60427220),(9761030306)	(0060427220),(60427220),(9761030306)	хюндай,хэндай,hyundai,киа,kia,тойота,toyota	Качественные Оригинальные Запчасти HYUNDAI, КИА, Тойота с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0060427220?sodship=y	/storage/detal_photo/0060427220-kbc-01.jpg
0071028775	Втулка На Тягу Стабилизатора	Kia,Hyundai%%%(0071028775)	(0071028775)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0071028775?sodship=y	/storage/detal_photo/0071028775-kia-01.jpg
0071028776	Шайба Стойки Стабилизатора	Kia,Hyundai%%%(0071028776)	(0071028776)	киа,kia,хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти КИА, HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0071028776?sodship=y	/storage/detal_photo/0071028776-hyundai-01.jpg
0139132329a	Втулка Маятника Рулевого	Hyundai,Kia%%%(0139132329a)	(0139132329a)	хюндай,хэндай,hyundai,киа,kia	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0139132329a?sodship=y	/storage/detal_photo/0139132329a-kia-01.jpg
0220000110	Масло Трансмиссионное Gear Oil Multi 1l	Hyundai%%%(0220000110)	(0220000110)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0220000110?sodship=y	/storage/detal_photo/0220000110-hyundai-01.jpg
310000100	Масло Гур New Psf-3 Sae 80w	Hyundai%%%(0310000100),(310000100)	(0310000100),(310000100)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0310000100?sodship=y	/storage/detal_photo/0310000110-hyundai-01.jpg
0310000130	Жидкость Гур	Hyundai%%%(0310000130)	(0310000130)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0310000130?sodship=y	/storage/detal_photo/0310000130-hyundai-01.jpg
0430000110	Масло Трансмиссионное Mtf 75w/85w Gl 4	Hyundai%%%(0430000110)	(0430000110)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0430000110?sodship=y	/storage/detal_photo/0430000110-hyundai-01.jpg
0430000140	Масло Трансмиссионное Mtf 75w-85 Prime Gl 4	Hyundai%%%(0430000140)	(0430000140)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0430000140?sodship=y	/storage/detal_photo/0430000140-hyundai-01.jpg
043005l6a01l	Масло Трансм,  75w-90 Gl4 Synth 6l Mtf	Hyundai%%%(043005l1a0),(043005l6a01l)	(043005l1a0),(043005l6a01l)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/043005l6a01l?sodship=y	/storage/detal_photo/043005l1a0-hyundai-01.jpg
3380027800	Форсунка Топливная в Сборе	Hyundai,Kia%%%(3380027800)	(3380027800)	хюндай,хэндай,hyundai,киа,kia	Качественные Оригинальные Запчасти HYUNDAI, КИА с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/3380027800?sodship=y	/storage/detal_photo/0445110253-bosch-01.jpg
0450000100	Масло Трансмиссионное Полусинтетическое	Hyundai%%%(0450000100)	(0450000100)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0450000100?sodship=y	/storage/detal_photo/0450000100-hyundai-01.jpg
0450000130	Масло Трансмиссионное Atf Mx4 Jws 3314	Hyundai%%%(0450000130)	(0450000130)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0450000130?sodship=y	/storage/detal_photo/0450000130-hyundai-01.jpg
0450000140	Масло Трансмиссионное Atf Matic-j Red-1	Hyundai%%%(0450000140)	(0450000140)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0450000140?sodship=y	/storage/detal_photo/0450000140-hyundai-01.jpg
0450000170	Масло Трансмиссионное Atf T4	Hyundai%%%(0450000170)	(0450000170)	хюндай,хэндай,hyundai	Качественные Оригинальные Запчасти HYUNDAI с Доставкой по Украине.	https://kiaparts.com.ua/product/search/item/0450000170?sodship=y	/storage/detal_photo/0450000170-hyundai-01.jpg
