price	title	description	link	image_link	id	availability	product_type
660 UAH	Искусственная Сосна Распушенная 1,5 м (СШ-Р-1,50)	Искусственная сосна распушенная 1,5 м (СШ-Р-1,50)	https://market.kharkov.ua/novogodnie-sosny-eli/raspushka15.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/sosna_pushistaja-22-350x470.jpg	1670270816	in stock	Новогодние Сосны Ели
540 UAH	Искусственная Сосна светло-зеленая Пвх 1,30 (СШ-СЗ-1,30)	Изготовлена из моноволокна (лески), имеет диаметр веточки 130 мм. Крайветочки обработанный прессом, имеет коническую форму. Край хвои может быть окрашен или разрыхленный.	https://market.kharkov.ua/novogodnie-sosny-eli/sosna-iskusstvennaya-svetlo-zelenaya-120-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elki/sosna-zelenaya/svetlo-zelenaya-120-350x470.jpg	3187046015	in stock	Новогодние Сосны Ели
1400 UAH	Сосна Искусственная Зеленая с Белыми Кончиками 2,30 м (СШ-БК-2,30)	Такой неизменный новогодний атрибут как искусственная сосна по популярности давно не уступает традиционным елкам. Это неудивительно, ведь эта синтетическая хвойная порода деревьев смотрится настолько декоративно, что зачастую прекрасно выглядит даже не будучи украшенной. Искусственная сосна имеет пышную корону и традиционный облик, способный создавать сказочную и теплую праздничную атмосферу.Сосна – изготовлена из моноволокна (лески), имеет диаметр веточки 120 мм. Край веточки обработан прессом, имеет коническую форму. Край хвои может быть окрашен или распушен.	https://market.kharkov.ua/novogodnie-sosny-eli/sosna-zelenaya-s-belymi-konchikami-230-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/sosna_s-belimi-konchikami-70-24-350x470.jpg	3888871858	in stock	Новогодние Сосны Ели
850 UAH	Сосна Искусственная Зеленая с Белыми Кончиками 1,80 м (СШ-БК-1,80)	Все больше людей за последние несколько лет стали отдавать предпочтение искусственным елкам и соснам. И этому есть несколько причин, искусственные елки не осыпаются, они более долговечны, легкие, мягкие. К тому же ухаживать за искусственной красавицей намного проще.Купить искусственную ёлку или сосну означает сберечь живую природу. Искусственная сосна сможет дарить радость вашим близким на протяжении многих новогодних праздников.Одним из главных внешних отличий сосны от ели является цвет. Известно, что хвоя ели темнее, чем у сосны. Искусственная сосна зеленая с белыми кончиками 1,80 м имеет темно-зеленый окрас, и длинные иголочки, с белыми капельками. Как будто только что прошел легкий снежок. Такая елка подарит свежую бодрость помещению, в котором она находится, и хорошее новогоднее настроение.Сосна – изготовлена из моноволокна (лески), имеет диаметр веточки 120 мм. Край веточки обработан прессом, имеет коническую форму. Край хвои может быть окрашен или распушен.	https://market.kharkov.ua/novogodnie-sosny-eli/sosna-zelenaya-s-belymi-konchikami-180-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/sosna_s-belimi-konchikami-70-24-350x470.jpg	1611076490	in stock	Новогодние Сосны Ели
690 UAH	Сосна Искусственная Зеленая с Белыми Кончиками 1,50 м (СШ-БК-1,50)	Одним из главных внешних отличий сосны от ели является цвет. Известно, что хвоя ели темнее, чем у сосны. Искусственная сосна зеленая с белыми кончиками 1,20 м имеет темно-зеленый окрас, и длинные иголочки, с белыми капельками. Как будто только что прошел легкий снежок. Такая елка подарит свежую бодрость помещению, в котором она находится, и хорошее новогоднее настроение.Сосна – изготовлена из моноволокна (лески), имеет диаметр веточки 120 мм. Край веточки обработан прессом, имеет коническую форму. Край хвои может быть окрашен или распушен.	https://market.kharkov.ua/novogodnie-sosny-eli/sosna-zelenaya-s-belymi-konchikami-150-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/sosna_s-belimi-konchikami-70-24-350x470.jpg	1592977424	in stock	Новогодние Сосны Ели
550 UAH	Сосна Искусственная Зеленая с Белыми Кончиками 1,30 м (СШ-БК-1,30)	Все больше людей за последние несколько лет стали отдавать предпочтение искусственным елкам и соснам. И этому есть несколько причин, искусственные елки не осыпаются, они более долговечны, легкие, мягкие. К тому же ухаживать за искусственной красавицей намного проще.Купить искусственную ёлку или сосну означает сберечь живую природу. Искусственная сосна сможет дарить радость вашим близким на протяжении многих новогодних праздников.Сосна – изготовлена из моноволокна (лески), имеет диаметр веточки 120 мм. Край веточки обработан прессом, имеет коническую форму. Край хвои может быть окрашен или распушен.	https://market.kharkov.ua/novogodnie-sosny-eli/sosna-zelenaya-s-belymi-konchikami-120-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/sosna_s-belimi-konchikami-70-24-350x470.jpg	1712177988	in stock	Новогодние Сосны Ели
70 UAH	Елка Искусственная, Зеленая, Сказка Пвх 0,55 м (ЯШК-З-0,55)	Если нет желания заморачиваться с покупкой настоящей елки, помогут искусственные сосны, не уступающие по красоте. Новый год любимый праздник многих людей, ночь поистине волшебна, все должно быть идеально. Не получится создать особенную атмосферу без колючего символа праздника. Существенный минус живых растений - иголки, которые остаются на полу. Да и живое дерево жалко, возможно именно ненастоящие заменители помогут сохранить природу. Сейчас существуют модели, которые тяжело отличить от оригинала. Они пушистые, высокие, специальные аромат заторы помогут передать запах. Потратив деньги один раз, гарантировано настроение на каждый праздник.	https://market.kharkov.ua/novogodnie-sosny-eli/elka-iskusstvennaya-pvx-55sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/skazka-mai-20-350x470.jpg	2641747052	in stock	Новогодние Сосны Ели
90 UAH	Елка Искусственная, Сказка Зеленая, Пвх, 0,75м (ЯШК-З-0,75)	Великолепные искусственные елочки и сосны из качественных итальянских материалов, прослужат вам более 10 лет. Это гораздо выгодней, чем каждый год тратить время, силы и деньги на приобретение живой елки. Никаких хлопот с доставкой и упаковкой! Никаких осыпавшихся иголочек. Наслаждайтесь только приятными хлопотами по украшению своей новогодней елочки!Изготовлена из пленки пвх, имеет диаметр веточки 90 мм. Край веточки не обрабатывается, имеет цилиндрическую форму. Мягкая и пушистая.Купить новогоднюю искусственную елку в интернет магазине дешево. Качество наших елок высокое, а цены доступные!	https://market.kharkov.ua/novogodnie-sosny-eli/el-iskusstvennaya-skazka-yashk-z-75-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/skazka-mai-20-350x470.jpg	377340444	in stock	Новогодние Сосны Ели
180 UAH	Ель Искусственная, Зеленая Сказка Пвх, 1,00м (ЯШК-З-1,00)	Купить елку в интернет магазине дешево. Отправим вам елочку в день заказа. Заказывайте!	https://market.kharkov.ua/novogodnie-sosny-eli/el-iskusstvennaya-skazka-yashk-z-100-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/skazka-mai-20-350x470.jpg	3750671771	in stock	Новогодние Сосны Ели
1240 UAH	Новогодняя Ель Искусственная, Сказка 2,50 м, Зеленая Пвх (ЯШК-З-2,50)	Желая купить новогоднюю елку искусственную, вы смело можете украшать ее красочными игрушками и светлыми гирляндами, так как елки (купить в украине можно за сравнительно низкую цену) является экологически чистым и пожаробезопасным атрибутом великолепного праздника. Кроме этого, задумываясь о том, чтобы купить елку недорого, заметьте, что искусственная елка, цена которой довольно-таки маленькая, изготовлена в четкой симметрии, давая возможность эксклюзивно и интересно украсить ее разнообразными новогодними аксессуарами.Изготовлена из пленки пвх, имеет диаметр веточки 90 мм. Край веточки не обрабатывается, имеет цилиндрическую форму. Мягкая и пушистая елочка!	https://market.kharkov.ua/novogodnie-sosny-eli/el-iskusstvennaya-skazka-yashk-z-250-sm.html	https://market.kharkov.ua/image/cache/catalog/data/elka/akcia/skazka-mai-21-350x470.jpg	229095816	in stock	Новогодние Сосны Ели
