price	title	description	link	image_link	id	availability	product_type
2781.00 UAH	Sava Tamar M+S Plus (Ведущая) 8.5 R17.5 121/120M	Sava tamar M+S plus (ведущая) 8.5 R17.5 121/120M	https://truck-point.com.ua/catalog/8-5-r17-5-vedushchie/97407-sava-tamar-m-s-plus-vedushchaya-8-5-r17-5-121-120m/	http://lici.zzz.com.ua/truck-point/4117.400x400.png	2879262356	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Ведущие
5490.00 UAH	Bridgestone V-Steel Mix M716 8.5 R17.5 121M	Bridgestone V-Steel mix M716 8.5 R17.5 121M	https://truck-point.com.ua/catalog/8-5-r17-5-vedushchie/95462-bridgestone-v-steel-mix-m716-8-5-r17-5-121m/	http://lici.zzz.com.ua/truck-point/6224.400x400.png	542047930	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Ведущие
6240.00 UAH	Goodyear Regional Rhd (Ведущая) 8.5 R17.5 121/120M	Goodyear regional rhd (ведущая) 8.5 R17.5 121/120M	https://truck-point.com.ua/catalog/8-5-r17-5-vedushchie/96161-goodyear-regional-rhd-vedushchaya-8-5-r17-5-121-120m/	http://lici.zzz.com.ua/truck-point/2024.400x400.png	1154155419	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Ведущие
2043.00 UAH	Michelin Xza (Прицеп) 8.5 R17.5 121/120L Demo	Michelin xza (прицеп) 8.5 R17.5 121/120L demo	https://truck-point.com.ua/catalog/8-5-r17-5-pritsepnye/99829-michelin-xza-pritsep-8-5-r17-5-121-120l-demo/	http://lici.zzz.com.ua/truck-point/3217.400x400.png	97359369	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Прицепные
3167.00 UAH	Triangle TR656 (Рулевая) 8.5 R17.5 121/120M PR12	Triangle TR656 (рулевая) 8.5 R17.5 121/120M PR12	https://truck-point.com.ua/catalog/8-5-r17-5-rulevye/97648-triangle-tr656-rulevaya-8-5-r17-5-121-120m-pr12/	http://lici.zzz.com.ua/truck-point/4585.400x400.png	1386619333	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Рулевые
4066.00 UAH	Pirelli Ls 97 (Рулевая) 8.5 R17.5 121/120M	Pirelli ls 97 (рулевая) 8.5 R17.5 121/120M	https://truck-point.com.ua/catalog/8-5-r17-5-rulevye/97141-pirelli-ls-97-rulevaya-8-5-r17-5-121-120m/	http://lici.zzz.com.ua/truck-point/3784.400x400.png	3212524695	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Рулевые
4167.00 UAH	Hankook AH11 (Рулевая) 8.5 R17.5 121/120L PR12	Hankook AH11 (рулевая) 8.5 R17.5 121/120L PR12	https://truck-point.com.ua/catalog/8-5-r17-5-rulevye/100025-hankook-ah11-rulevaya-8-5-r17-5-121-120l-pr12/	http://lici.zzz.com.ua/truck-point/2131.400x400.png	3357231845	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Рулевые
6240.00 UAH	Goodyear Regional Rhs (Рулевая) 8.5 R17.5 121/120M	Goodyear regional rhs (рулевая) 8.5 R17.5 121/120M	https://truck-point.com.ua/catalog/8-5-r17-5-rulevye/96171-goodyear-regional-rhs-rulevaya-8-5-r17-5-121-120m/	http://lici.zzz.com.ua/truck-point/2027.400x400.png	3546472399	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Рулевые
4159.00 UAH	Pirelli Ms 38 (Универсальная) 8.5 R17.5 121/120L	Pirelli ms 38 (универсальная) 8.5 R17.5 121/120L	https://truck-point.com.ua/catalog/8-5-r17-5-universalnye/97142-pirelli-ms-38-universalnaya-8-5-r17-5-121-120l/	http://lici.zzz.com.ua/truck-point/6812.400x400.png	1611456502	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Универсальные
4360.00 UAH	Lassa LS/R 3100 (Универсальная) 8.5 R17.5 121M	Lassa LS/R 3100 (универсальная) 8.5 R17.5 121M	https://truck-point.com.ua/catalog/8-5-r17-5-universalnye/96548-lassa-ls-r-3100-universalnaya-8-5-r17-5-121m/	http://lici.zzz.com.ua/truck-point/2673.400x400.png	2730912526	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Универсальные
5384.00 UAH	Sava Comet Plus (Уневерсальная) 8.5 R17.5 121/120M	Sava comet plus (уневерсальная) 8.5 R17.5 121/120M	https://truck-point.com.ua/catalog/8-5-r17-5-universalnye/97379-sava-comet-plus-uneversalnaya-8-5-r17-5-121-120m/	http://lici.zzz.com.ua/truck-point/7596.400x400.png	2082570977	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Универсальные
5616.00 UAH	Dunlop Sp 111 (Универсальная) 8.5 R17.5 121/120L	Dunlop sp 111 (универсальная) 8.5 R17.5 121/120L	https://truck-point.com.ua/catalog/8-5-r17-5-universalnye/95694-dunlop-sp-111-universalnaya-8-5-r17-5-121-120l/	http://lici.zzz.com.ua/truck-point/1386.400x400.png	3175615276	in stock	Грузовые и Автобусные Шины > 8 5 R17 5 > Универсальные
2043.00 UAH	Michelin Xza (Прицеп) 8.5 R17.5 121/120L Demo	Michelin xza (прицеп) 8.5 R17.5 121/120L demo	https://truck-point.com.ua/catalog/8-5-r17-5/99829-michelin-xza-pritsep-8-5-r17-5-121-120l-demo/	http://lici.zzz.com.ua/truck-point/3217.400x400.png	3240235724	in stock	Грузовые и Автобусные Шины > 8 5 R17 5
