price	title	description	link	image_link	id	availability	product_type
330.00 UAH	Пакеты майка с рисунком "Пчёлка"	Ширина: 290 мм                     Длина: 480 мм                     Толщина: 18 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: Желтый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/zakazat-paket-majka-s-risunkom-gorokh-v-kompanii-ukr-pak-kharkov181210132415	https://www.ukrpak.com/components/com_jshopping/files/img_products/____________.jpg	144	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
260.00 UAH	Пакеты майка с рисунком "Вышиванка"	Ширина: 290 мм                     Длина: 450 мм                     Толщина: 15 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/paket-majka-s-risunkom-vyshivanka	https://www.ukrpak.com/components/com_jshopping/files/img_products/Vishivanka.jpg	105	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
51.60 UAH	Пакеты фасовочные No9 "London"	Ширина: 180 мм                     Длина: 350 мм                     Толщина: 6 мкм                     Максимальная Нагрузка: 3 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-9/zakazat-paket-fasovochnyj-london-9-standart-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/London9.jpg	25	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные № 9
33.50 UAH	Пакеты фасовочные No9 "Пакеты от Котэ"	Ширина: 180 мм                     Длина: 350 мм                     Толщина: 12 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-9/zakazat-paket-fasovochnyj-torebka-9-standart-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/___________9.jpg	29	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные № 9
1060.00 UAH	Пакеты майка с рисунком "BMW супер"	Ширина: 430 мм                     Длина: 700 мм                     Толщина: 35 мкм                     Максимальная Нагрузка: 20 кг                     Цвет: в ассортименте	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/zakazat-paket-majka-s-risunkom-bmw-super-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/BMW431.jpg	60	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
23.00 UAH	Пакеты фасовочные No9 "Монблан"	Ширина: 180 мм                     Длина: 350 мм                     Толщина: 14 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-fasovochnye/pakety-fasovochnye-9/zakazat-paket-fasovochnyj-monblan-9v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/monblan99.jpg	27	in stock	Пакеты Полиэтиленовые > Пакеты Фасовочные > Пакеты Фасовочные № 9
260.00 UAH	Пакеты майка с рисунком "Смайлик"	Ширина: 290 мм                     Длина: 450 мм                     Толщина: 15 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Белый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/paket-majka-s-risunkom-smile	https://www.ukrpak.com/components/com_jshopping/files/img_products/Smile.jpg	133	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
400.00 UAH	Пакеты майка с рисунком "Клубника"	Ширина: 300 мм                     Длина: 530 мм                     Толщина: 20 мкм                     Максимальная Нагрузка: 7 кг                     Цвет: Желтый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/zakazat-paket-majka-s-risunkom-klubnika-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/_________________new.jpg	43	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
260.00 UAH	Пакеты майка с рисунком "Горох"	Ширина: 300 мм                     Длина: 500 мм                     Толщина: 15 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Желтый, Зеленый, Фиолетовый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/zakazat-paket-majka-s-risunkom-gorokh-v-kompanii-ukr-pak-kharkov	https://www.ukrpak.com/components/com_jshopping/files/img_products/goroh1.jpg	42	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
260.00 UAH	Пакеты майка с рисунком "Самец"	Ширина: 290 мм                     Длина: 450 мм                     Толщина: 15 мкм                     Максимальная Нагрузка: 5 кг                     Цвет: Желтый	https://www.ukrpak.com/pakety-polietilenovye/pakety-majki/pakety-majka-s-risunkom/paket-majka-s-risunkom-samets	https://www.ukrpak.com/components/com_jshopping/files/img_products/Camell.jpg	63	in stock	Пакеты Полиэтиленовые > Пакеты Майка > Пакеты «майка» с Рисунком
